OBJECTID,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,STATION_NAME_ENGLISH,lines_present,line_count,lines_present_json,is_tagged
17844,CHOA CHU KANG MRT STATION,Exit D,10C24E69D8E231DD,20251202172807,CHOA CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17845,CHOA CHU KANG LRT STATION,Exit E,B31E5041452C3958,20251202172807,CHOA CHU KANG LRT STATION,['Bukit Panjang LRT'],1,"[""Bukit Panjang LRT""]",True
17846,GUL CIRCLE MRT STATION,Exit A,F7C62DDD2A73BCC1,20251202172807,GUL CIRCLE MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17847,GUL CIRCLE MRT STATION,Exit B,E5B02C31AEAEB829,20251202172807,GUL CIRCLE MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17848,TUAS CRESCENT MRT STATION,Exit A,6395E3FC8B63D35B,20251202172807,TUAS CRESCENT MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17849,TUAS CRESCENT MRT STATION,Exit B,D98379EE652ED92E,20251202172807,TUAS CRESCENT MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17850,TUAS WEST ROAD MRT STATION,Exit A,7C93D36D12D462DA,20251202172807,TUAS WEST ROAD MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17851,TUAS WEST ROAD MRT STATION,Exit B,9982881E8A76BEDD,20251202172807,TUAS WEST ROAD MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17852,TUAS LINK MRT STATION,Exit A,124B3EF02A2AD8EF,20251202172807,TUAS LINK MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17853,TUAS LINK MRT STATION,Exit B,4EB65BBF499F04BE,20251202172807,TUAS LINK MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17854,EXPO MRT STATION,Exit C,E79BB6D2D2002821,20251202172807,EXPO MRT STATION,"['Changi Airport Branch Line', 'Downtown Line']",2,"[""Changi Airport Branch Line"", ""Downtown Line""]",True
17855,EXPO MRT STATION,Exit D,7559EFD8098C1D02,20251202172807,EXPO MRT STATION,"['Changi Airport Branch Line', 'Downtown Line']",2,"[""Changi Airport Branch Line"", ""Downtown Line""]",True
17856,MACPHERSON MRT STATION,Exit E,5285256719923C73,20251202172807,MACPHERSON MRT STATION,"['Circle Line', 'Downtown Line']",2,"[""Circle Line"", ""Downtown Line""]",True
17857,EXPO MRT STATION,Exit E,906C9579A92CF7A4,20251202172807,EXPO MRT STATION,"['Changi Airport Branch Line', 'Downtown Line']",2,"[""Changi Airport Branch Line"", ""Downtown Line""]",True
17858,MACPHERSON MRT STATION,Exit D,DB18BEBDD5326092,20251202172807,MACPHERSON MRT STATION,"['Circle Line', 'Downtown Line']",2,"[""Circle Line"", ""Downtown Line""]",True
