specification,bandwidth_m,sample_size,cutoff_coef_log_points,cutoff_std_err,cutoff_p_value,cutoff_premium_pct,cutoff_price_jump_sgd_at_local_mean_price,cutoff_price_jump_sgd_at_local_median_price,local_mean_resale_price,local_median_resale_price,cutoff_ci_low_pct,cutoff_ci_high_pct,r_squared,boundary_school_name,school_group,inside_n,outside_n
uncontrolled,500,7988,-0.05340316725955557,0.01539210454757521,0.0005213952131070673,-0.052002266222044735,-30415.95447399245,-29225.27361678914,584896.7109263896,562000.0,-0.0801748599555524,-0.02296679648839317,0.007822820671414155,ANGSANA PRIMARY SCHOOL,non_good,2383,5605
controlled,100,1292,0.003804918076899644,0.008184062285679623,0.6419901616414152,0.0038121659673131525,2054.336533302951,1982.3263030028393,538889.5842724458,520000.0,-0.012161290448817086,0.020043914863188572,0.967471680807083,BEACON PRIMARY SCHOOL,non_good,608,684
uncontrolled,100,1292,-0.07274197412688002,0.041526714154734586,0.07982694417479134,-0.07015927796054466,-37808.10413301288,-36482.82453948323,538889.5842724458,520000.0,-0.14284313192226195,0.008687908319299886,0.04884334059491968,BEACON PRIMARY SCHOOL,non_good,608,684
controlled,200,2430,0.0249963458822962,0.006917834199250304,0.00030230170921193684,0.025311373909140178,13499.133897520984,13104.963841457327,533322.8431604939,517750.0,0.01150304788279466,0.039308201461061065,0.939214392135991,BEACON PRIMARY SCHOOL,non_good,1310,1120
uncontrolled,200,2430,-0.11018499246787232,0.029542703077007387,0.00019171888885900334,-0.10433157194319631,-55642.41058014907,-54017.67137358989,533322.8431604939,517750.0,-0.1547211368439274,-0.050938136531135325,0.04979110616321136,BEACON PRIMARY SCHOOL,non_good,1310,1120
controlled,300,3645,0.03540632059852188,0.006325045294625989,2.1709253540077145e-08,0.03604058791968123,19274.39305602567,18741.10571823424,534796.8545624143,520000.0,0.023275986204406962,0.04896441848342481,0.9224304224027629,BEACON PRIMARY SCHOOL,non_good,1988,1657
uncontrolled,300,3645,-0.11649014182916874,0.023688834551191702,8.765082736304791e-07,-0.10996112891133325,-58806.86586591318,-57179.78703389329,534796.8545624143,520000.0,-0.15034106040083928,-0.06766214638722445,0.06450219374596211,BEACON PRIMARY SCHOOL,non_good,1988,1657
controlled,500,5393,0.015007281073928222,0.005459420931021131,0.005979967329167108,0.015120455755895712,7732.6820586475915,7407.3298293442385,511405.3559948081,489888.0,0.004316103709996133,0.026041040154040074,0.9155965380567402,BEACON PRIMARY SCHOOL,non_good,3328,2065
uncontrolled,500,5393,-0.11974321540168446,0.019043494965105254,3.2183005329684013e-10,-0.11285178653123296,-57713.008065655275,-55284.73600021265,511405.3559948081,489888.0,-0.14535445694832827,-0.07911302052710623,0.09155070959438949,BEACON PRIMARY SCHOOL,non_good,3328,2065
controlled,100,1232,0.014924537954966954,0.008836790616418459,0.09123681058491977,0.015036464998141597,6308.715865520339,5788.196982244619,419561.1047077922,384944.0,-0.0023927045613386655,0.03277013909855908,0.9534941437747229,BEDOK GREEN PRIMARY SCHOOL,non_good,675,557
uncontrolled,100,1232,-0.1840963981381188,0.031486697947550046,5.011220249966268e-09,-0.16814438937055198,-70546.84575472595,-64726.17382185776,419561.1047077922,384944.0,-0.21792945078242343,-0.11519010960329878,0.04396795057732095,BEDOK GREEN PRIMARY SCHOOL,non_good,675,557
controlled,200,1846,-0.01204350663547269,0.006607339096086326,0.06834173844017828,-0.011971273878790822,-5343.016960207947,-4788.509551516329,446319.83315276273,400000.0,-0.024684130042505692,0.0009072893310386743,0.9551420773435381,BEDOK GREEN PRIMARY SCHOOL,non_good,1077,769
uncontrolled,200,1846,-0.09736332646035045,0.025345260285487604,0.00012229438793972736,-0.09277367308378737,-41406.73029172493,-37109.469233514945,446319.83315276273,400000.0,-0.13674058526463062,-0.046567469522252436,0.038343875668255256,BEDOK GREEN PRIMARY SCHOOL,non_good,1077,769
controlled,300,2885,-0.012465140001994335,0.005792554218736302,0.0314032922765087,-0.012387771945894022,-5837.86502694186,-5301.966392842642,471260.29220103985,428000.0,-0.023537123485911637,-0.0011111159862688957,0.9552689382096964,BEDOK GREEN PRIMARY SCHOOL,non_good,1382,1503
uncontrolled,300,2885,-0.05054447485728944,0.021735360146647634,0.020047955754837976,-0.049288355032680364,-23227.644594809542,-21095.415953987194,471260.29220103985,428000.0,-0.0889393244890323,-0.007911705365241661,0.050599719914314334,BEDOK GREEN PRIMARY SCHOOL,non_good,1382,1503
controlled,500,4910,-0.016950650043249436,0.004925996157093897,0.0005794392862277073,-0.01680779606957128,-7799.404765964,-7003.7077754139345,464034.94745417516,416694.0,-0.026254791533443678,-0.00726914857751082,0.9586339251219249,BEDOK GREEN PRIMARY SCHOOL,non_good,2522,2388
uncontrolled,500,4910,-0.026708520147604074,0.018757076278012076,0.15447049444762698,-0.026355001932007016,-12229.64193667356,-10981.97117505573,464034.94745417516,416694.0,-0.06149996874507224,0.010106074258955378,0.022875087899396074,BEDOK GREEN PRIMARY SCHOOL,non_good,2522,2388
controlled,100,1026,0.09074833250027736,0.014947504226158766,1.2700848947970591e-09,0.09499339632874815,57371.300413760764,56046.10383396141,603950.4074074074,590000.0,0.06337862813864281,0.1275480870838419,0.9680385514709323,BENDEMEER PRIMARY SCHOOL,non_good,454,572
uncontrolled,100,1026,-0.1678558818238671,0.05536964645493784,0.0024330118301548478,-0.15452432568305763,-93325.02945063756,-91169.352153004,603950.4074074074,590000.0,-0.24147565834471751,-0.057605568330530654,0.013904394088160021,BENDEMEER PRIMARY SCHOOL,non_good,454,572
controlled,200,2096,0.1282920627693972,0.010398932950887502,5.72203238668645e-35,0.13688499599367554,81434.69575298722,79393.29767633181,594913.2347328244,580000.0,0.11394765735587975,0.16029463824494083,0.9641784050133547,BENDEMEER PRIMARY SCHOOL,non_good,917,1179
uncontrolled,200,2096,-0.15032988576660836,0.042297378583808186,0.00037924863092851755,-0.13957591205761177,-83035.55733297805,-80954.02899341483,594913.2347328244,580000.0,-0.20803077701553274,-0.06520406396397216,0.011985956582776458,BENDEMEER PRIMARY SCHOOL,non_good,917,1179
controlled,300,3177,0.1338637814448567,0.008452549566241576,1.7262890427570963e-56,0.14323707893442172,85017.39213709092,81645.13499262038,593543.1856720176,570000.0,0.12445310019463296,0.1623348438670147,0.9627336333605075,BENDEMEER PRIMARY SCHOOL,non_good,1500,1677
uncontrolled,300,3177,-0.11393124730765204,0.03445972040694956,0.0009456546905967309,-0.10768069687198589,-63913.14385678137,-61377.99721703196,593543.1856720176,570000.0,-0.16595865149172473,-0.04533061800956428,0.0077875116247840825,BENDEMEER PRIMARY SCHOOL,non_good,1500,1677
controlled,500,4916,0.07106602024107332,0.00648445721684113,5.986863077277484e-28,0.07365210629944685,44248.12908831124,42718.221653679175,600772.0798698129,580000.0,0.06009283459539483,0.08738480984186636,0.95659403324812,BENDEMEER PRIMARY SCHOOL,non_good,2414,2502
uncontrolled,500,4916,-0.10277211260973385,0.02775140899217069,0.00021280330074518536,-0.09766741973010074,-58675.85888677062,-56647.10344345843,600772.0798698129,580000.0,-0.14543684824335001,-0.04722771659081382,0.01508922517147293,BENDEMEER PRIMARY SCHOOL,non_good,2414,2502
