term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
C(month_period)[T.2021-11],0.17048889906894932,0.00450010931978597,37.88550165200386,0.0,0.16166873993566788,0.17930905820223075
C(month_period)[T.2021-12],0.17982835324576255,0.004555994618440146,39.470712392397665,0.0,0.17089865961180276,0.18875804687972234
C(month_period)[T.2022-01],0.1921382259789578,0.004478136042200314,42.90584836376508,0.0,0.18336113420053665,0.20091531775737895
C(month_period)[T.2022-02],0.1966209710775545,0.004701911453414511,41.817242418457084,0.0,0.18740528223475833,0.20583665992035066
C(month_period)[T.2022-03],0.20223336201714967,0.004531733897819558,44.626045257082325,0.0,0.1933512190983738,0.21111550493592554
C(month_period)[T.2022-04],0.22212383285064985,0.00448876010654606,49.484451736844136,0.0,0.2133259180362727,0.230921747665027
C(month_period)[T.2022-05],0.2248309027215485,0.004568497127642041,49.21331817441493,0.0,0.2158767043227286,0.23378510112036838
C(month_period)[T.2022-06],0.2360993813470614,0.00461639883968628,51.143627218116656,0.0,0.227051296179507,0.2451474665146158
C(month_period)[T.2022-07],0.24280335513108686,0.004483970174095738,54.14919049501749,0.0,0.23401482852562808,0.2515918817365457
C(month_period)[T.2022-08],0.24680227832156132,0.004488124719934698,54.990066836902045,0.0,0.23800560885715796,0.2555989477859647
C(month_period)[T.2022-09],0.2586909096463671,0.00444215851296235,58.235407154314586,0.0,0.24998433338447038,0.26739748590826384
C(month_period)[T.2022-10],0.27132217861764957,0.0046944243948987795,57.796687259993625,0.0,0.26212116431781585,0.2805231929174833
C(month_period)[T.2022-11],0.2724323839913374,0.00465081720403885,58.57731491892488,0.0,0.2633168392513317,0.2815479287313431
C(month_period)[T.2022-12],0.2800255093914306,0.0045882805263220035,61.03059910678586,0.0,0.2710325357735761,0.2890184830092851
C(month_period)[T.2023-01],0.2858993426710445,0.004396480234149158,65.02914318830642,0.0,0.27728229527599,0.294516390066099
C(month_period)[T.2023-02],0.2899708005240062,0.004677696510803034,61.990084190867286,0.0,0.28080257267205694,0.29913902837595546
C(month_period)[T.2023-03],0.2903466069476329,0.004471156292861628,64.93770021217608,0.0,0.28158319539240256,0.2991100185028633
C(month_period)[T.2023-04],0.2992322318742688,0.004560558965242589,65.61306062585943,0.0,0.2902935921764967,0.30817087157204087
C(month_period)[T.2023-05],0.30585043714314564,0.004523988392276172,67.6063708884235,0.0,0.29698347532034003,0.31471739896595124
C(month_period)[T.2023-06],0.311148993490172,0.0046904529035820324,66.33666298035993,0.0,0.301955763264662,0.320342223715682
C(month_period)[T.2023-07],0.3186997746712721,0.004624292342857132,68.91860441382963,0.0,0.3096362183342108,0.3277633310083334
C(month_period)[T.2023-08],0.31452555056460985,0.004474998246433052,70.2850667741184,0.0,0.30575460882744954,0.32329649230177016
C(month_period)[T.2023-09],0.3198351868802772,0.004674963015123594,68.41448495861984,0.0,0.31067231664636996,0.3289980571141844
C(month_period)[T.2023-10],0.3209973462582131,0.004587310081365844,69.97507048022315,0.0,0.3120062747005832,0.329988417815843
C(month_period)[T.2023-11],0.3252632834046803,0.004612124721011245,70.52352290537445,0.0,0.31622357545736424,0.33430299135199637
C(month_period)[T.2023-12],0.33394002306484666,0.004697108347349549,71.09480948066272,0.0,0.32473374825109214,0.3431462978786012
