address_key,query,latitude,longitude,x_svy21,y_svy21,matched_address,match_score,error
TOA PAYOH|134|POTONG PASIR AVE 3,134 POTONG PASIR AVE 3 SINGAPORE,1.334474891866286,103.8662865393752,31668.98804251663,35184.99451715499,134 POTONG PASIR AVENUE 3 SINGAPORE 350134,3.0,
TOA PAYOH|122|LOR 2 TOA PAYOH,122 LOR 2 TOA PAYOH SINGAPORE,1.339805239615545,103.8462811963057,29442.60010651033,35774.37632825598,122 LORONG 2 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310122,3.0,
TOA PAYOH|79D|TOA PAYOH CTRL,79D TOA PAYOH CTRL SINGAPORE,1.334640843848284,103.8491655147131,29763.5974615328,35203.32574640214,79D TOA PAYOH CENTRAL CENTRAL HORIZON SINGAPORE 314079,3.0,
TOA PAYOH|11|LOR 8 TOA PAYOH,11 LOR 8 TOA PAYOH SINGAPORE,1.337233443021776,103.858841063408,30840.38146656286,35490.01116374321,11 LORONG 8 TOA PAYOH TOA PAYOH COURT SINGAPORE 310011,3.0,
TOA PAYOH|255|KIM KEAT AVE,255 KIM KEAT AVE SINGAPORE,1.331659373468797,103.8577615459231,30720.24874722865,34873.65782476403,255 KIM KEAT AVENUE SINGAPORE 310255,4.5,
TOA PAYOH|60|LOR 4 TOA PAYOH,60 LOR 4 TOA PAYOH SINGAPORE,1.336328138772459,103.8507564289532,29940.64818594046,35389.89938384667,60 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310060,3.0,
TOA PAYOH|154|LOR 2 TOA PAYOH,154 LOR 2 TOA PAYOH SINGAPORE,1.333287830326118,103.8461656296154,29429.74253943935,35053.71449290216,154 LORONG 2 TOA PAYOH TOA PAYOH SAPPHIRE SINGAPORE 310154,3.0,
WOODLANDS|22|MARSILING DR,22 MARSILING DR SINGAPORE,1.441897300828896,103.7743737919536,21440.35904636886,47063.28002093174,22 MARSILING DRIVE MARSILING GREEN SINGAPORE 730022,4.5,
WOODLANDS|202|MARSILING DR,202 MARSILING DR SINGAPORE,1.443151211426942,103.7751647770486,21528.38699966203,47201.92896742933,202 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730202,4.5,
WOODLANDS|2|MARSILING DR,2 MARSILING DR SINGAPORE,1.439938287586006,103.7766947503977,21698.64044296648,46846.65551201813,2 MARSILING DRIVE MARSILING SPRING SINGAPORE 730002,4.5,
WOODLANDS|6|MARSILING DR,6 MARSILING DR SINGAPORE,1.442072976441061,103.7763539905305,21660.72501101904,47082.69974740967,6 MARSILING DRIVE MARSILING GARDENS SINGAPORE 730006,4.5,
WOODLANDS|213|MARSILING CRES,213 MARSILING CRES SINGAPORE,1.446408912179679,103.7722024839404,21198.73944837693,47562.15801820718,213 MARSILING CRESCENT SINGAPORE 730213,4.5,
WOODLANDS|31|MARSILING DR,31 MARSILING DR SINGAPORE,1.442985954806474,103.7723426946575,21214.33254501224,47183.66393426247,31 MARSILING DRIVE MARSILING SAPPHIRE SINGAPORE 730031,4.5,
WOODLANDS|12|MARSILING LANE,12 MARSILING LANE SINGAPORE,1.440514128607814,103.7786216119334,21913.07203646004,46910.32391308621,12 MARSILING LANE MARSILING GARDENS SINGAPORE 730012,6.0,
WOODLANDS|15|MARSILING LANE,15 MARSILING LANE SINGAPORE,1.441925602238598,103.7781583957634,21861.52699198108,47066.3988945093,15 MARSILING LANE MARSILING GARDENS SINGAPORE 730015,6.0,
WOODLANDS|146|WOODLANDS ST 13,146 WOODLANDS ST 13 SINGAPORE,1.436117888400572,103.7740843537285,21408.13245169353,46424.22212254256,146 WOODLANDS STREET 13 SINGAPORE 730146,3.0,
WOODLANDS|101|WOODLANDS ST 13,101 WOODLANDS ST 13 SINGAPORE,1.435982685401854,103.7819327474628,22281.53912436683,46409.25091189891,101 WOODLANDS STREET 13 SINGAPORE 730101,3.0,
WOODLANDS|33|MARSILING DR,33 MARSILING DR SINGAPORE,1.443558254103054,103.772015392214,21177.91056565009,47246.94693309628,33 MARSILING DRIVE MARSILING SAPPHIRE SINGAPORE 730033,4.5,
WOODLANDS|627|WOODLANDS AVE 6,627 WOODLANDS AVE 6 SINGAPORE,1.433485373279864,103.8011803911468,24423.50532546453,46133.07151170634,627 WOODLANDS AVENUE 6 SINGAPORE 730627,3.0,
WOODLANDS|843|WOODLANDS ST 82,843 WOODLANDS ST 82 SINGAPORE,1.443149290422851,103.7930551254092,23519.30473258905,47201.67347537912,843 WOODLANDS STREET 82 SINGAPORE 730843,3.0,
WOODLANDS|25|MARSILING DR,25 MARSILING DR SINGAPORE,1.441940095820594,103.7720532050573,21182.11372920871,47068.01889753528,25 MARSILING DRIVE MARSILING GREEN SINGAPORE 730025,4.5,
WOODLANDS|728|WOODLANDS CIRCLE,728 WOODLANDS CIRCLE SINGAPORE,1.442880202006733,103.7988877778627,24168.38775040116,47171.90836394206,728 WOODLANDS CIRCLE SINGAPORE 730728,6.0,
