blk_no,postal_code,entity_id,latitude,longitude,supermarket_name,supermarket_blk_house,supermarket_street,supermarket_postcode,supermarket_latitude,supermarket_longitude,euclidean_distance_to_nearest_supermarket_km,nearest_supermarket_estimated_walking_km,walking_time_to_nearest_supermarket_mins
164,570164,12553,1.3485662685922586,103.85605015680599,COLD STORAGE SINGAPORE (1983) PTE LTD,512,BISHAN STREET 13,570512,1.34962234403109,103.849881701299,0.6965,0.8358,10.45
710,470710,2898,1.3355630082418453,103.92380969550796,SHENG SIONG SUPERMARKET PTE LTD,739A,BEDOK RESERVOIR ROAD,471739,1.33824202544731,103.923303938599,0.3035,0.3642,4.55
684B,642684,5911,1.343852096113425,103.70419988535917,NTUC FAIRPRICE CO-OPERATIVE LTD,1,JURONG WEST CENTRAL 2,648886,1.33983014805774,103.706460886826,0.5136,0.6163,7.7
29A,271029,10371,1.308530438756971,103.78452963312537,NTUC FAIRPRICE CO-OPERATIVE LTD,29A,GHIM MOH LINK,271029,1.3084928850612,103.784598109774,0.0087,0.0104,0.13
174A,531174,5984,1.3496307162839476,103.88857739118278,PRIME SUPERMARKET (1996) PTE LTD,106,HOUGANG AVENUE 1,530106,1.35370296933733,103.890680794853,0.5102,0.6122,7.65
121,381121,5907,1.3221484444164104,103.88287930511423,NTUC FAIRPRICE CO-OPERATIVE LTD,114,ALJUNIED AVENUE 2,380114,1.32176644586798,103.886672786663,0.4243,0.5092,6.36
148,570148,9741,1.34430470539305,103.85470225736583,LIN POH LING,212,LORONG 8 TOA PAYOH,310212,1.34064293307986,103.854334496723,0.4097,0.4916,6.15
365,650365,4691,1.3608732681087923,103.74869387946615,PRIME SUPERMARKET LIMITED,373,BUKIT BATOK STREET 31,650373,1.35894636653359,103.750365807136,0.284,0.3407,4.26
237,550237,3256,1.3539350449826815,103.87008341941618,TEO BOBBY,253,SERANGOON CENTRAL DRIVE,550253,1.35367102829776,103.870756830653,0.0805,0.0966,1.21
808B,682808,11384,1.3757436310985924,103.74590500596983,U STARS PTE. LTD.,810,CHOA CHU KANG AVENUE 7,680810,1.37405796748332,103.746160084444,0.1898,0.2277,2.85
202B,542202,601,1.3881300789907391,103.8927415570635,U STARS SUPERMARKET PTE. LTD.,215C,COMPASSVALE DRIVE,543215,1.38977025366003,103.892787164081,0.1827,0.2192,2.74
203,730203,111,1.443793925617327,103.77442263569276,NTUC FAIRPRICE CO-OPERATIVE LTD,71,WOODLANDS AVENUE 3,739044,1.43262602939439,103.774051198699,1.2439,1.4927,18.66
440,670440,4736,1.3835663150510236,103.7700893632503,COLD STORAGE SINGAPORE (1983) PTE LTD,445,FAJAR ROAD,670445,1.38358044412737,103.770768312339,0.0756,0.0907,1.13
651,410651,7832,1.3321596030642597,103.90741602572369,COLD STORAGE SINGAPORE (1983) PTE LTD,306,UBI AVENUE 1,400306,1.32987219697453,103.901929745106,0.6615,0.7938,9.92
182,820182,173,1.3990206565796948,103.90942245191324,COLD STORAGE SINGAPORE (1983) PTE LTD,622D,PUNGGOL CENTRAL,824622,1.40053114255394,103.91053692695,0.2089,0.2507,3.13
666A,641666,7418,1.339723944635837,103.70154330652626,NTUC FAIRPRICE CO-OPERATIVE LTD,63,JURONG WEST CENTRAL 3,648331,1.33931503939035,103.705351000578,0.4262,0.5114,6.39
657,820657,12347,1.3983975749154949,103.92294540459652,HAO MART PTE. LTD.,658,PUNGGOL EAST,820658,1.39990420413757,103.919352755684,0.4336,0.5203,6.5
401C,793401,12977,1.390832471216872,103.87095034832429,NTUC FAIRPRICE CO-OPERATIVE LTD,447A,JALAN KAYU,791447,1.3921382839313,103.872490556756,0.2247,0.2697,3.37
